Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/20/2023,17:59:48,42.2743585,-71.8112163333,165.7,0,4.10,99964,113.09,400,0,0,0,0,0,0,0,0,0
02/20/2023,17:59:50,42.2743585,-71.8112163333,165.7,0,3.80,99973,113.77,400,20,10.94,1.01,37.56,4.26,39.67,986.20,160.74,-4.28
02/20/2023,17:59:52,42.2743575,-71.8112168333,165.9,0,3.70,99978,112.42,400,20,10.94,1.00,37.45,4.21,39.60,985.90,163.30,-1.71
02/20/2023,17:59:53,42.2743575,-71.8112168333,165.9,0,3.50,99979,112.42,400,20,10.94,0.96,37.45,4.17,39.52,986.30,159.89,-5.14
02/20/2023,17:59:56,42.2743575,-71.8112168333,165.9,0,3.20,99963,114.19,400,20,10.94,0.91,37.34,4.11,39.42,987.20,152.22,-12.83
02/20/2023,17:59:59,42.2743573333,-71.8112168333,166.0,0,3.00,99975,113.18,400,20,10.94,0.90,37.34,4.06,39.31,986.40,159.03,-5.99
02/20/2023,18:00:00,42.2743573333,-71.8112168333,166.0,0,2.50,99974,112.93,400,20,10.94,0.90,37.34,3.89,39.00,987.00,153.92,-11.12
02/20/2023,18:00:01,42.2743573333,-71.8112168333,166.0,0,2.30,99990,112.34,400,20,10.94,0.94,37.34,3.76,38.77,986.20,160.74,-4.28
02/20/2023,18:00:02,42.2743573333,-71.8112168333,166.0,0,2.10,99980,111.75,400,20,10.94,0.90,37.34,3.68,38.62,986.90,154.77,-10.26
02/20/2023,18:00:04,42.274357,-71.811217,166.1,0,1.80,99984,112.25,400,20,10.94,0.59,37.34,3.64,38.57,986.10,161.59,-3.42
02/20/2023,18:00:06,42.274357,-71.811217,166.1,0,2.10,100024,107.71,400,20,10.94,0.81,37.22,3.45,38.21,985.10,170.12,5.14
02/20/2023,18:00:07,42.274357,-71.811217,166.1,0,2.30,100047,107.71,400,20,10.94,0.43,37.22,3.55,38.41,988.30,142.86,-22.23
02/20/2023,18:00:08,42.2743566667,-71.8112168333,166.1,0,1.80,99936,116.38,400,20,10.94,0.76,37.22,3.42,38.16,985.20,169.26,4.28
02/20/2023,18:00:10,42.2743566667,-71.8112168333,166.1,0,2.20,100040,107.29,400,20,10.94,0.82,37.22,3.47,38.26,986.20,160.74,-4.28
02/20/2023,18:00:12,42.2743566667,-71.8112168333,166.1,0,2.20,100041,108.05,400,20,10.94,0.54,37.22,3.53,38.35,987.80,147.11,-17.96
02/20/2023,18:00:14,42.2743566667,-71.8112168333,166.1,0,2.20,100022,108.72,400,20,10.94,0.77,37.11,3.45,38.23,987.00,153.92,-11.12
02/20/2023,18:00:16,42.2743565,-71.8112166667,166.1,0,2.20,100033,108.55,400,20,10.94,0.80,37.00,3.44,38.19,986.00,162.44,-2.57
02/20/2023,18:00:18,42.2743565,-71.8112166667,166.1,0,2.30,100036,108.05,400,20,10.94,0.79,37.00,3.46,38.23,987.60,148.81,-16.25
02/20/2023,18:00:19,42.2743565,-71.8112166667,166.1,0,2.10,100024,110.06,400,20,10.94,0.91,37.00,3.35,38.03,985.50,166.71,1.71
02/20/2023,18:00:20,42.2743565,-71.8112166667,166.1,0,2.00,99998,110.57,400,20,10.94,0.92,37.00,3.35,38.03,986.50,158.18,-6.84
02/20/2023,18:00:22,42.2743565,-71.8112161667,166.1,0,2.10,99994,111.33,400,20,10.94,0.94,36.89,3.33,38.01,986.30,159.89,-5.14
02/20/2023,18:00:24,42.2743565,-71.8112161667,166.1,0,2.10,100014,109.22,400,20,10.94,0.93,36.89,3.31,37.98,986.20,160.74,-4.28
02/20/2023,18:00:25,42.2743565,-71.8112161667,166.1,0,2.10,100038,106.78,400,20,10.94,0.88,36.89,3.04,37.47,985.80,164.15,-0.86
02/20/2023,18:00:27,42.2743565,-71.8112161667,166.1,0,0.80,99686,138.97,400,20,10.94,0.54,36.66,2.91,37.31,971.70,285.06,120.51
02/20/2023,18:00:29,42.2743568333,-71.8112165,166.1,0,0.70,99774,129.10,400,20,10.94,0.86,36.66,2.99,37.38,983.10,187.19,22.28
02/20/2023,18:00:31,42.2743568333,-71.8112165,166.1,0,0.80,99835,125.22,400,20,10.94,0.88,36.66,2.81,37.08,983.60,182.92,17.99
02/20/2023,18:00:32,42.2743568333,-71.8112165,166.1,0,0.50,99836,124.63,400,20,10.94,0.85,36.55,2.70,36.86,984.80,172.68,7.71
02/20/2023,18:00:34,42.2743568333,-71.8112165,166.1,0,0.40,99829,125.22,400,20,10.94,0.84,36.55,2.56,36.61,984.10,178.65,13.70
02/20/2023,18:00:36,42.2743568333,-71.8112165,166.1,0,0.10,99747,131.29,400,20,10.94,0.80,36.44,2.51,36.52,984.90,171.82,6.85
02/20/2023,18:00:37,42.2743576667,-71.8112163333,166.2,0,0.50,99834,125.56,400,20,10.94,0.82,36.33,2.50,36.50,985.50,166.71,1.71
02/20/2023,18:00:39,42.2743576667,-71.8112163333,166.2,0,0.50,99823,125.64,400,20,10.94,0.80,36.33,2.48,36.46,986.00,162.44,-2.57
02/20/2023,18:00:41,42.2743576667,-71.8112163333,166.2,0,0.30,99820,126.06,400,20,10.94,0.82,36.33,2.26,36.07,984.60,174.38,9.42
02/20/2023,18:00:43,42.2743576667,-71.8112163333,166.2,0,0.00,99818,126.32,400,20,10.94,0.83,36.33,2.11,35.80,984.70,173.53,8.56
02/20/2023,18:00:44,42.2743576667,-71.8112163333,166.2,0,-0.20,99787,128.59,400,20,10.94,0.84,36.33,1.94,35.47,984.10,178.65,13.70
02/20/2023,18:00:46,42.2743578333,-71.8112155,166.1,0,-0.30,99800,127.75,400,20,10.94,0.84,36.33,1.80,35.26,984.70,173.53,8.56
02/20/2023,18:00:47,42.2743578333,-71.8112155,166.1,0,-0.40,99788,129.35,400,20,10.94,0.84,36.21,1.68,35.04,983.80,181.22,16.27
02/20/2023,18:00:49,42.2743578333,-71.8112155,166.1,0,-0.90,99645,143.02,400,20,10.94,0.71,36.10,1.57,34.84,980.30,211.15,46.32
02/20/2023,18:00:51,42.2743585,-71.8112153333,166.2,0,-2.60,99057,190.82,400,20,10.94,0.40,36.10,1.48,34.66,974.10,264.38,99.75
02/20/2023,18:00:53,42.2743585,-71.8112153333,166.2,0,-2.30,99044,189.88,400,20,10.94,0.53,36.10,1.58,34.84,978.40,227.43,62.66
02/20/2023,18:00:55,42.2743585,-71.8112153333,166.2,0,0.20,99743,133.40,400,20,10.94,0.81,36.10,1.74,35.13,984.90,171.82,6.85
02/20/2023,18:00:56,42.274358,-71.8112166667,166.2,0,0.40,99793,127.66,400,20,10.94,0.81,36.10,1.77,35.20,984.50,175.24,10.28
02/20/2023,18:00:59,42.274358,-71.8112166667,166.2,0,0.00,99720,134.75,400,20,10.94,0.66,36.10,1.77,35.19,980.40,210.29,45.46
02/20/2023,18:00:59,42.2743581667,-71.8112161667,166.2,0,0.80,99851,124.38,400,21,10.94,0.71,36.10,1.69,35.04,977.20,237.73,73.00
02/20/2023,18:01:01,42.2743581667,-71.8112161667,166.2,0,0.60,99795,128.76,400,24,10.94,0.74,36.10,1.86,35.33,981.60,200.02,35.15
02/20/2023,18:01:03,42.2743581667,-71.8112161667,166.2,0,1.20,99853,123.28,400,28,10.94,0.67,36.10,1.90,35.44,983.70,182.07,17.13
02/20/2023,18:01:05,42.2743585,-71.811216,166.2,0,1.30,99878,121.26,400,34,10.94,0.73,36.10,1.90,35.40,983.00,188.05,23.13
02/20/2023,18:01:06,42.2743585,-71.811216,166.2,0,1.40,99919,117.47,400,39,10.94,0.66,36.10,1.92,35.46,985.40,167.56,2.57
02/20/2023,18:01:08,42.2743585,-71.811216,166.2,0,1.00,99837,124.80,400,45,10.94,0.55,36.10,1.76,35.19,981.20,203.44,38.59
02/20/2023,18:01:10,42.2743581667,-71.811217,166.2,0,0.50,99647,140.99,400,50,10.94,-0.06,36.10,1.71,35.10,967.00,325.68,161.28
02/20/2023,18:01:11,42.2743581667,-71.811217,166.2,0,-3.50,98465,241.74,400,55,10.94,-0.65,36.10,2.01,35.58,969.20,306.65,142.18
02/20/2023,18:01:13,42.2743595,-71.8112175,166.5,0,-0.60,99205,177.26,400,60,10.94,-0.02,36.10,0.84,33.49,960.70,380.38,216.19
02/20/2023,18:01:15,42.2743626667,-71.8112221667,166.7,0,-0.70,99272,190.56,400,65,10.94,0.17,36.21,0.82,33.48,963.60,355.17,190.88
02/20/2023,18:01:16,42.2743701667,-71.8112275,167.2,0,1.60,99906,116.55,400,71,10.94,-0.30,36.33,0.84,33.51,961.80,370.81,206.58
02/20/2023,18:01:18,42.2743791667,-71.811229,166.8,0,2.60,100164,101.32,400,77,10.94,0.45,36.33,1.80,35.26,978.00,230.86,66.11
02/20/2023,18:01:20,42.274387,-71.8112303333,166.5,0,2.50,100176,103.25,400,84,10.94,0.50,36.44,1.93,35.47,982.30,194.03,29.14
02/20/2023,18:01:21,42.274387,-71.8112303333,166.5,0,0.80,99821,126.82,400,92,10.94,0.38,36.44,1.46,34.63,973.40,270.41,105.80
02/20/2023,18:01:23,42.274387,-71.8112303333,166.5,0,-0.10,99406,167.61,400,99,10.94,-0.24,36.44,0.95,33.71,972.30,279.89,115.32
02/20/2023,18:01:25,42.2743965,-71.8112306667,166.1,0,1.70,100122,102.41,400,106,10.94,0.00,36.55,0.88,33.58,970.00,299.73,135.24
02/20/2023,18:01:27,42.2743965,-71.8112306667,166.1,0,1.70,100183,95.60,400,111,10.94,-0.38,36.55,0.88,33.58,957.70,406.53,242.43
02/20/2023,18:01:28,42.2744096667,-71.8112345,165.8,0,1.60,100177,96.86,400,115,10.94,0.28,36.66,0.83,33.49,942.70,538.28,374.68
02/20/2023,18:01:30,42.2744205,-71.8112466667,165.1,0,1.60,100182,95.43,400,116,10.94,0.52,36.89,0.85,33.53,942.50,540.05,376.45
02/20/2023,18:01:32,42.2744288333,-71.81126,165.1,0,1.60,100187,95.43,400,117,10.94,0.60,37.00,0.95,33.69,942.10,543.59,380.00
02/20/2023,18:01:35,42.2744288333,-71.81126,165.1,0,1.50,100190,96.27,400,116,10.94,0.61,37.22,1.07,33.93,943.50,531.21,367.58
02/20/2023,18:01:38,42.2744288333,-71.81126,165.1,0,1.50,100191,94.59,400,113,10.94,0.97,37.45,1.30,34.36,947.30,497.70,333.94
02/20/2023,18:01:39,42.2744288333,-71.81126,165.1,0,1.40,100172,97.37,400,109,10.94,0.34,37.68,2.40,36.36,957.10,411.77,247.69
02/20/2023,18:01:39,42.2744386667,-71.811271,165.1,0,1.40,100180,96.02,400,103,10.94,0.31,38.01,2.78,37.00,983.50,183.78,18.85
02/20/2023,18:01:40,42.2744386667,-71.811271,165.1,0,1.40,100180,95.77,400,98,10.94,-0.35,38.24,2.70,36.86,967.10,324.82,160.41
02/20/2023,18:01:42,42.2744386667,-71.811271,165.1,0,1.50,100178,97.11,400,92,10.94,-0.24,38.35,2.78,37.02,977.80,232.58,67.83
02/20/2023,18:01:44,42.2744386667,-71.811271,165.1,0,1.50,100169,95.52,400,87,10.94,0.17,38.58,2.89,37.20,980.60,208.58,43.74
02/20/2023,18:01:45,42.2744491667,-71.8112803333,164.9,0,1.40,100176,96.27,400,82,10.94,0.02,38.80,2.84,37.13,980.20,212.00,47.18
02/20/2023,18:01:47,42.2744491667,-71.8112803333,164.9,0,1.30,100165,97.53,400,77,10.94,-0.25,38.91,2.81,37.06,981.70,199.16,34.29
02/20/2023,18:01:49,42.2744491667,-71.8112803333,164.9,0,1.30,100163,96.36,400,72,10.94,-0.25,39.03,2.85,37.13,980.80,206.86,42.02
02/20/2023,18:01:50,42.2744491667,-71.8112803333,164.9,0,1.40,100191,94.93,400,66,10.94,-0.03,39.25,2.97,37.33,983.00,188.05,23.13
02/20/2023,18:01:52,42.2744491667,-71.8112803333,164.9,0,1.40,100184,96.69,400,60,10.94,-0.05,39.36,2.98,37.36,982.30,194.03,29.14
02/20/2023,18:01:54,42.2744605,-71.811288,164.7,0,-5.60,98854,206.01,400,53,10.94,-0.11,39.59,3.06,37.51,986.70,156.48,-8.56
02/20/2023,18:01:56,42.2744605,-71.811288,164.7,0,-2.30,99194,179.04,400,45,10.94,-0.02,39.70,3.10,37.58,988.20,143.71,-21.38
02/20/2023,18:01:58,42.2744605,-71.811288,164.7,0,-1.40,99457,155.85,400,38,10.94,0.12,39.81,3.12,37.62,987.20,152.22,-12.83
02/20/2023,18:01:59,42.2744605,-71.811288,164.7,0,-0.90,99604,143.86,400,31,10.94,0.21,39.93,3.10,37.58,987.60,148.81,-16.25
