Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/24/2023,11:36:51,0,0,0,0,1.50,98186,264.77,400,20,10.94,-0.02,36.89,2.47,36.46,972.60,200.00,0.00
02/24/2023,11:36:52,42.2812965,-71.7828761667,206.9,0,1.50,98192,264.09,400,20,10.94,-0.02,36.89,2.48,36.46,972.60,200.00,0.00
02/24/2023,11:36:54,42.2812965,-71.7828761667,206.9,0,1.40,98181,263.92,400,20,10.94,-0.01,36.89,2.48,36.46,972.60,200.00,0.00
02/24/2023,11:36:55,42.2812966667,-71.7828758333,207.0,0,1.40,98176,265.03,400,20,10.94,-0.01,36.89,2.47,36.45,972.60,200.00,0.00
02/24/2023,11:36:57,42.2812968333,-71.7828755,207.1,0,1.40,98187,265.28,400,20,10.94,-0.03,36.89,2.46,36.43,974.00,187.92,-12.14
02/24/2023,11:36:58,42.2812968333,-71.7828755,207.1,0,1.40,98190,264.43,400,20,10.94,-0.03,36.89,2.45,36.43,972.70,199.14,-0.87
02/24/2023,11:37:01,42.2812968333,-71.7828755,207.1,0,1.40,98177,265.28,400,20,10.94,-0.03,36.89,2.45,36.43,972.40,201.73,1.74
02/24/2023,11:37:02,42.2812971667,-71.7828741667,207.4,0,1.40,98160,266.14,400,20,10.94,-0.05,36.89,2.45,36.41,973.90,188.78,-11.27
02/24/2023,11:37:05,42.2812971667,-71.782873,207.4,0,1.30,98176,265.28,400,20,10.94,-0.06,36.89,2.45,36.41,972.60,200.00,0.00
02/24/2023,11:37:05,42.2812971667,-71.782873,207.4,0,1.40,98180,266.05,400,20,10.94,-0.07,36.89,2.46,36.43,973.80,189.64,-10.41
02/24/2023,11:37:07,42.2812963333,-71.782873,207.5,0,1.30,98163,265.63,400,20,10.94,-0.08,36.89,2.46,36.43,972.50,200.86,0.87
02/24/2023,11:37:08,42.2812963333,-71.782873,207.5,0,1.30,98178,266.05,400,20,10.94,-0.09,36.89,2.44,36.41,972.50,200.86,0.87
02/24/2023,11:37:11,42.2812956667,-71.7828733333,207.4,0,1.30,98164,267.59,400,20,10.94,-0.09,36.89,2.46,36.43,972.40,201.73,1.74
02/24/2023,11:37:12,42.2812956667,-71.7828733333,207.4,0,1.40,98160,266.39,400,20,10.94,-0.15,36.89,2.47,36.45,972.60,200.00,0.00
02/24/2023,11:37:14,42.2812956667,-71.7828733333,207.4,0,1.40,98181,265.11,400,20,10.94,-0.11,36.89,2.47,36.46,972.40,201.73,1.74
02/24/2023,11:37:15,42.281295,-71.7828736667,207.5,0,1.30,98163,266.05,400,20,10.94,-0.13,36.89,2.47,36.46,974.50,183.61,-16.47
02/24/2023,11:37:17,42.2812941667,-71.7828743333,207.5,0,1.80,98268,257.43,400,20,10.94,-0.19,36.89,2.47,36.45,972.30,202.59,2.60
02/24/2023,11:37:19,42.2812941667,-71.7828743333,207.5,0,1.10,98072,273.06,400,20,10.94,-0.16,36.89,2.48,36.48,972.80,198.27,-1.74
02/24/2023,11:37:20,42.2812941667,-71.7828743333,207.5,0,1.20,98111,272.37,400,20,10.94,-0.24,36.89,2.51,36.52,974.30,185.33,-14.73
02/24/2023,11:37:22,42.2812941667,-71.7828743333,207.5,0,2.10,98373,250.09,400,20,10.94,0.05,37.00,2.52,36.55,973.00,196.55,-3.47
02/24/2023,11:37:24,42.2812931667,-71.7828745,207.6,0,1.90,98301,257.17,400,20,10.94,-0.09,37.00,2.53,36.55,973.60,191.37,-8.67
